function_name,total_time,call_count,avg_time,cpu_time,wait_time,memory_usage,file
stat,8.570000000000001e-05,1,8.570000000000001e-05,1.6000000000000001e-06,8.410000000000001e-05,,pathlib.py
<lambda>,0.0001956,127,1.5401574803149607e-06,0.0001134,8.22e-05,,<string>
_sum,3.43e-05,1,3.43e-05,1.6000000000000001e-06,3.27e-05,,_methods.py
atleast_2d,9.4e-06,1,9.4e-06,8.3e-06,1.0999999999999996e-06,,shape_base.py
_arrays_for_stack_dispatcher,2.0000000000000003e-06,1,2.0000000000000003e-06,1.3e-06,7.000000000000003e-07,,shape_base.py
_any,5e-05,2,2.5e-05,4.7e-06,4.53e-05,,_methods.py
python_implementation,7.2000000000000005e-06,1,7.2000000000000005e-06,4.6e-06,2.6000000000000005e-06,,platform.py
formatTime,0.0061199,156,3.9230128205128204e-05,0.0009148,0.0052051,,__init__.py
__init__,3.0200000000000002e-05,2,1.5100000000000001e-05,4.6e-06,2.5600000000000002e-05,,random.py
getLevelName,0.00030460000000000003,156,1.952564102564103e-06,0.0001711,0.00013350000000000002,,__init__.py
getMessage,0.0039662000000000005,156,2.5424358974358976e-05,0.0039662000000000005,0.0,,__init__.py
format,0.0011746,156,7.529487179487179e-06,0.00020290000000000003,0.0009717,,__init__.py
format,0.0133795,156,8.576602564102564e-05,0.0002908,0.0130887,,__init__.py
_cmpkey,1.98e-05,2,9.9e-06,1.8900000000000002e-05,8.999999999999982e-07,,__init__.py
_is_internal_frame,0.0053717,468,1.1477991452991453e-05,0.0013725,0.0039992,,__init__.py
validate,1.22e-05,1,1.22e-05,5.2e-06,7e-06,,__init__.py
addHandler,3.8e-06,1,3.8e-06,1.8000000000000001e-06,2e-06,,__init__.py
getLogger,4.7000000000000004e-05,1,4.7000000000000004e-05,7.4e-06,3.96e-05,,__init__.py
_format,0.0009717,156,6.228846153846154e-06,0.0009717,0.0,,__init__.py
__lt__,1.9e-06,1,1.9e-06,1.5e-06,4e-07,,__init__.py
