         130955 function calls (129194 primitive calls) in 33.150 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:1161(reduce_pipe_connection)
      156    0.000    0.000    0.002    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:462(format)
       12    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\spawn.py:160(get_preparation_data)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      180    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\process.py:189(name)
       69    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:153(__init__)
      415    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       48    0.000    0.000    0.000    0.000 {built-in method _winapi.OpenProcess}
      459    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:1107(<genexpr>)
       31    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\_common.py:367(usage_percent)
      154    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:385(_guarded_task_generation)
      156    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:1790(isEnabledFor)
      207    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      309    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_winapi.Overlapped' objects}
      156    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:129(getLevelName)
       12    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\process.py:80(__init__)
      210    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      156    0.000    0.000    0.002    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:674(formatMessage)
      167    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      343    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       10    0.000    0.000    0.000    0.000 {built-in method psutil_windows.proc_times}
        1    0.000    0.000    0.090    0.090 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:314(_repopulate_pool_static)
      166    0.000    0.000    0.000    0.000 <frozen ntpath>:35(_get_bothseps)
        4    0.000    0.000    0.000    0.000 {built-in method nt._path_isdir}
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
       12    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\subprocess.py:300(_args_from_interpreter_flags)
       12    0.000    0.000    0.088    0.007 C:\Users\spinz\anaconda3\Lib\multiprocessing\context.py:334(_Popen)
